ID,Capture date,Site type,Flyway,Site ID,Sex,Forewing length (mm),Infection status (0 or 1),Reproductive status (0 or 1),Migratory status,Stable isotope H value,Stable isotope C value,Total cardenolide concentration
737,10/23/2014,year-round breeding,coastal,6,M,51.55,1,1,resident,-93.16,-30.3,1.55897
738,10/28/2014,year-round breeding,coastal,6,F,50.35,0,1,migrant,-114.25,-27.89,0.18182
739,10/28/2014,year-round breeding,coastal,6,F,51.17,1,1,unclassifiable,-104.94,-30.93,1.58863
740,10/28/2014,year-round breeding,coastal,6,M,54.17,1,1,resident,-86.46,-31.86,1.66433
741,10/17/2014,year-round breeding,coastal,6,M,49.84,1,0,migrant,-80.02,-28.84,0.16323
742,10/21/2014,year-round breeding,coastal,6,F,53.25,1,1,resident,-92.98,-29.76,1.74711
744,10/29/2014,year-round breeding,coastal,7,M,53.01,0,1,migrant,-116.96,-28.44,0
745,10/29/2014,year-round breeding,coastal,7,F,53.09,1,1,resident,-91.86,-30.18,2.7262
746,10/29/2014,year-round breeding,coastal,7,M,48.71,1,1,resident,-87.63,-29.04,2.21385
747,10/29/2014,year-round breeding,coastal,7,F,52.48,0,0,migrant,-108.24,-29.2,0
748,10/29/2014,year-round breeding,coastal,7,M,51.83,0,1,migrant,-126.2,-29.08,0.58482
749,10/29/2014,year-round breeding,coastal,7,M,52.25,1,1,resident,-98.36,-28.68,1.5691
750,10/29/2014,year-round breeding,coastal,7,M,56.6,0,0,migrant,-126.78,-28.25,0
751,10/29/2014,year-round breeding,coastal,7,M,51.26,0,0,migrant,-139.44,-27.47,0.34775
752,10/29/2014,year-round breeding,coastal,7,M,53.51,0,0,migrant,-128.23,-26.8,0.06907
753,10/29/2014,year-round breeding,coastal,7,M,54.88,0,1,migrant,-139.56,-27.74,0.54604
754,10/29/2014,year-round breeding,coastal,7,M,49.25,0,1,migrant,-110.94,-30.46,0
755,10/29/2014,year-round breeding,coastal,7,F,54.58,0,0,NA,NA,NA,0.55786
